Date,ProductID,TotalBrowsingTime,BrowsingCount,Price,Category,ViewCount,AddToCartCount,CustomerCount,AvgDuration_x,FemaleRatio,AvgAge,VisitCount,AvgDuration_y,TotalDuration
2024-01-01,P0001,29.75,14,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0002,32.379999999999995,10,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0003,13.06,3,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0005,5.27,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0006,4.01,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0007,14.58,2,364.96,Accessories,2047.0,215.0,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0008,21.560000000000002,4,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0010,6.13,2,197.18,Clothes,4412.0,700.0,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0011,4.6,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0012,12.790000000000001,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0017,0.63,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0018,7.04,3,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0020,1.08,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0021,1.51,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0022,2.59,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0027,1.72,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0028,3.27,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0029,1.14,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0030,2.8099999999999996,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0032,7.4,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0034,4.96,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0036,0.77,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0039,0.75,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0040,5.53,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0041,6.6000000000000005,2,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-01,P0049,1.88,1,,,,,5.0,60.53599999999999,0.2,15.8,58,32.050671781921785,1814.37
2024-01-02,P0001,79.18,22,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0002,16.8,7,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0003,11.080000000000002,4,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0004,41.56,8,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0005,15.27,3,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0006,10.54,3,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0007,0.96,1,364.96,Accessories,2047.0,215.0,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0008,0.84,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0009,6.09,3,289.44,Clothes,2524.0,518.0,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0010,0.86,1,197.18,Clothes,4412.0,700.0,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0011,5.54,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0012,8.18,2,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0014,7.890000000000001,2,138.67,Toys,2882.0,661.0,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0015,1.05,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0016,3.9800000000000004,2,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0017,5.62,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0021,0.85,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0025,3.88,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0026,3.71,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0027,10.98,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0029,7.81,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0030,0.96,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0034,10.25,2,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
2024-01-02,P0036,3.46,1,,,,,10.0,77.026,0.5,16.7,49,29.458216931216935,1432.67
